menu_week_start,scraped_at,id,core_recipe_id,name,portion_weight_g,kcal_per_portion,protein_g_per_portion,fat_g_per_portion,fat_saturates_g_per_portion,carbs_g_per_portion,sugars_g_per_portion,fibre_g_per_portion,salt_g_per_portion,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,fat_saturates_g_per_100g,carbs_g_per_100g,sugars_g_per_100g,fibre_g_per_100g,salt_g_per_100g,five_a_day,prep_time_min,preparation_type,spice_level,food_brand,dietary_claims,rating_avg,rating_count,is_available
2026-05-05,2026-05-10,53eb96f9-dba0-480f-aa20-4fa53c167e63,4143,'Nduja & Cherry Tomato Sauce With Spinach & Ricotta Ravioli,291,534,20.1,28.1,11.0,49.8,10.0,4.6,3.26,183,6.9,9.7,3.8,17.1,3.4,1.6,1.12,1,10,full-prep,spicy,Pasta Pronto,,4.41,14957,False
2026-05-05,2026-05-10,073862ba-7965-4e1c-a424-34fb6cc5085f,8858,2 Meals: Butter Paneer x Curried Paneer Loaded Pitta,779,1162,58.3,42.4,26.1,133.4,38.5,11.0,5.37,149,7.5,5.4,3.3,17.1,4.9,1.4,0.69,2,45,full-prep,mild,Batch Cooking,Vegetarian,4.28,54,True
2026-05-05,2026-05-10,5d0fc972-e732-4a69-bd28-d550470795bd,8508,2 Meals: Creamy Chicken With Potatoes x Chicken & Pea Tortiglioni,864,1330,86.0,55.7,23.4,126.2,14.0,15.7,2.82,153,10.0,6.4,2.7,14.6,1.6,1.8,0.33,1,55,full-prep,no spice,Batch Cooking,,4.12,102,False
2026-05-05,2026-05-10,c0be6f8b-eac7-4bad-a6f3-c304a3240bd0,8834,2 Meals: Tray Bake Chicken Thigh Fajitas x Creamy Fajita Pasta,820,1497,83.3,65.1,31.0,150.4,20.1,13.4,2.95,182,10.2,7.9,3.8,18.3,2.4,1.6,0.36,1,35,full-prep,no spice,Batch Cooking,,4.02,122,False
2026-05-05,2026-05-10,5b4d9d96-7753-4e07-a7f6-f092862ee552,2645,21-Day Aged Sirloin Steak With Truffled Mushroom Sauce & Fries,551,770,51.6,44.1,20.0,44.4,4.5,7.2,1.0,139,9.4,8.0,3.6,8.1,0.8,1.3,0.18,1,40,full-prep,no spice,Fine Dine In,Gluten Free,4.5,635,True
2026-05-05,2026-05-10,e636e388-6f70-460a-9422-e0dc590ada50,3476,3-Mushroom Stroganoff With Walnut Rice,344,499,10.9,22.1,8.8,64.4,5.4,4.7,1.22,144,3.2,6.4,2.5,18.7,1.6,1.4,0.35,2,40,full-prep,mild,Modern Bistro,Vegetarian; Gluten Free,4.15,12594,True
2026-05-05,2026-05-10,1406c2f0-71a3-487e-b7ff-16c1bce1a792,6208,Aji De Gallina-Style Chicken Stew With Rice,338,552,38.5,16.0,4.2,63.7,6.7,3.7,1.37,163,11.4,4.7,1.2,18.8,2.0,1.1,0.4,1,20,full-prep,mild,20 minute meals,Gluten Free,4.2,4922,True
2026-05-05,2026-05-10,e189e852-a71b-431c-96bf-43e44c70e1b3,4249,All In One Fable Pulled Mushroom & Gnocchi Cacio E Pepe,391,708,27.0,27.3,16.1,69.4,3.7,17.2,3.11,180,6.9,7.0,4.1,17.7,1.0,4.4,0.79,1,55,full-prep,no spice,Prepped in 5,Vegetarian,4.03,3392,True
2026-05-05,2026-05-10,7dbcf7fa-73af-44a5-a5fc-1bca949d0198,4257,Aromatic Tandoori-Style Meat-Free Chick'n With Rice Salad,410,514,26.6,16.7,2.3,57.5,6.3,8.3,1.87,125,6.5,4.1,0.5,14.0,1.5,2.0,0.46,1,25,full-prep,mild,20 minute meals,Vegetarian; Gluten Free,4.42,750,True
2026-05-05,2026-05-10,c23bd33e-5595-4137-a611-654a6c6c91b3,3171,Bacon & Garlic Mushrooms With Creamy Mash,464,441,18.1,21.1,10.8,47.4,5.0,7.8,2.59,94,3.9,4.5,2.3,10.2,1.1,1.7,0.56,2,25,full-prep,no spice,20 minute meals,,4.39,8585,True
