menu_week_start,scraped_at,id,core_recipe_id,name,portion_weight_g,kcal_per_portion,protein_g_per_portion,fat_g_per_portion,fat_saturates_g_per_portion,carbs_g_per_portion,sugars_g_per_portion,fibre_g_per_portion,salt_g_per_portion,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,fat_saturates_g_per_100g,carbs_g_per_100g,sugars_g_per_100g,fibre_g_per_100g,salt_g_per_100g,five_a_day,prep_time_min,preparation_type,spice_level,food_brand,dietary_claims,rating_avg,rating_count,is_available
2026-05-12,2026-05-10,19316596-43d1-40f0-a60a-6afbb2ceb031,8867,2 Meals: Cardamom & Orange Overnight Oats x Cranberry & Apple Oats,508,799,25.9,28.8,6.3,116.0,45.3,14.7,0.33,157,5.1,5.7,1.2,22.8,8.9,2.9,0.07,1,10,full-prep,no spice,Batch Cooking,Vegetarian,3.81,80,True
2026-05-12,2026-05-10,9c7757ae-d839-4da6-b5d4-11fb005e6133,13467,2 Meals: Marry Me Chicken Stew x Creamy Chicken & Basil Tortiglioni,860,1309,87.3,52.0,19.9,129.7,14.9,12.3,3.58,152,10.2,6.0,2.3,15.1,1.7,1.4,0.42,2,45,full-prep,mild,Batch Cooking,,4.39,28,False
2026-05-12,2026-05-10,fc9d75bd-9b5c-42fa-9229-7727a4aefa25,8759,2 Meals: Veggie Chilli Con Carne x Refried Bean Tortillas,986,1246,41.7,37.5,18.2,175.6,32.4,33.6,4.68,126,4.2,3.8,1.8,17.8,3.3,3.4,0.47,3,40,full-prep,mild,Batch Cooking,Vegetarian,4.36,99,True
2026-05-12,2026-05-10,35acf27a-b211-4edd-988a-91597a79328a,4276,All In One Honey Baked Greek Cheese & Crispy Gnocchi,474,478,20.4,11.1,7.3,75.5,16.0,5.7,2.36,100,4.3,2.3,1.5,15.9,3.4,1.2,0.5,3,40,full-prep,mild,Prepped in 5,Vegetarian,4.13,32261,True
2026-05-12,2026-05-10,5531395d-b4b6-419f-8438-5b7ec12fe7aa,3495,All In One Spicy Lamb Ragù Pasta,457,741,43.6,23.3,11.3,88.8,15.6,7.6,1.56,162,9.5,5.1,2.5,19.4,3.4,1.7,0.34,2,55,full-prep,spicy,Prepped in 5,,4.33,12990,True
2026-05-12,2026-05-10,dd1e3999-88a2-4b18-9880-15e7bca0b3da,909,Aromatic Tandoori-Style Chicken With Rice Salad,455,553,38.0,18.3,2.9,56.1,6.3,3.3,0.82,121,8.4,4.0,0.6,12.3,1.4,0.7,0.18,1,30,full-prep,mild,20 minute meals,Gluten Free,4.33,10615,True
2026-05-12,2026-05-10,888ea217-b5ea-4468-8be2-ba945da3139d,822,Asian-Style Chicken Burger With Sesame Fries,489,731,38.9,32.1,4.7,72.9,14.3,7.5,2.21,149,7.9,6.6,1.0,14.9,2.9,1.5,0.45,1,40,full-prep,mild,Global Kitchen,Dairy Free,4.47,25750,True
2026-05-12,2026-05-10,f44bdc74-dde0-46db-815e-3f0ae751a22a,7506,Bacon Fried Rice With A Fried Egg And Spicy Ketchup,369,557,24.5,18.8,5.0,70.4,7.9,2.3,2.58,150,6.6,5.1,1.3,19.1,2.1,0.6,0.7,1,10,full-prep,spicy,10-Minute,Dairy Free,4.26,1373,True
2026-05-12,2026-05-10,44a225b3-4440-42e2-ac58-d25c072f7594,5509,"Bacon, Leek & Potato Chowder",363,341,15.0,15.1,7.2,38.9,9.0,7.6,2.7,93,4.1,4.2,2.0,10.7,2.5,2.1,0.74,1,40,full-prep,no spice,One Pan Wonders,Gluten Free,4.46,6449,True
2026-05-12,2026-05-10,ad7f88bc-68b4-4fe7-952d-6ca2e288c860,730,Baked Basa With Soy Honey Butter And Pak Choi,305,421,28.0,7.9,1.9,58.9,10.9,1.0,2.72,138,9.2,2.6,0.6,19.3,3.6,0.3,0.89,1,40,full-prep,mild,Global Kitchen,Dairy Free,4.19,5236,True
2026-05-12,2026-05-10,ac823a21-1c50-4007-96a7-a9b9d614af62,7492,Baked Chilli & Sage Pork Shoulder And Creamy Mushroom Stew,415,473,31.1,24.1,12.1,33.9,3.4,4.2,1.31,114,7.5,5.8,2.9,8.2,0.8,1.0,0.32,1,65,full-prep,mild,Prepped in 5,Gluten Free,4.4,3478,True
2026-05-12,2026-05-10,e970ece1-0f05-4d98-9ef4-b7af21fbe586,9016,Baked Classic Chicken Thigh Tikka Masala & Rice,420,697,38.4,29.5,12.3,70.0,9.2,4.4,1.97,165,9.1,7.0,2.9,16.6,2.2,1.1,0.47,1,55,full-prep,mild,Prepped in 5,Gluten Free,4.37,428,True
2026-05-12,2026-05-10,b8023e51-ee90-4f57-b4ee-f61943339b51,12289,Baked Honey Mustard Chicken Breast With Mediterranean-Style Quinoa,427,353,35.5,7.3,1.3,38.2,16.8,5.3,1.2,82,8.3,1.7,0.3,8.9,3.9,1.2,0.28,2,30,full-prep,no spice,Modern Bistro,Dairy Free,0,0,True
2026-05-12,2026-05-10,f066d4a2-b79b-4561-94ea-db03bd226829,7511,"Baked Salmon With Potatoes, British Asparagus & Hollandaise",416,582,28.7,38.5,5.2,31.6,4.9,6.9,0.38,139,6.9,9.3,1.3,7.6,1.2,1.7,0.09,1,40,full-prep,no spice,Fine Dine In,Dairy Free; Gluten Free,4.53,903,True
2026-05-12,2026-05-10,6328af85-895b-400b-b7b9-c64cd409b6d4,4729,Balsamic Glazed Bacon & Roasted British Asparagus Risotto,334,530,22.7,16.9,7.3,69.3,6.7,5.4,2.6,158,6.8,5.1,2.2,20.8,2.0,1.6,0.78,2,45,full-prep,no spice,Modern Bistro,Gluten Free,4.33,3118,True
2026-05-12,2026-05-10,d5f81cdb-9a5f-479b-a4b9-18a3cd66d8fc,6327,Basa Puttanesca Orzo With Gremolata,295,423,31.4,5.6,1.2,59.1,6.9,4.4,2.07,143,10.6,1.9,0.4,20.0,2.3,1.5,0.7,1,30,full-prep,mild,Modern Bistro,Dairy Free,4.3,1870,True
2026-05-12,2026-05-10,291f1565-f27d-49b6-8bbb-34038f54924f,4096,Basa With Creamy Tomato Sauce And Harissa Mash ,441,313,24.7,9.6,4.8,33.6,12.0,7.6,1.09,70,5.6,2.2,1.1,7.6,2.7,1.7,0.25,3,30,full-prep,spicy,Global Kitchen,Gluten Free,4.17,7589,True
2026-05-12,2026-05-10,f1ee0cca-667a-4203-bc31-07eb38d8bfe8,6267,BBQ Chicken Burger With Fries And Pickled Cucumber,508,587,37.3,17.8,2.1,69.3,14.9,7.5,1.12,115,7.3,3.5,0.4,13.6,2.9,1.5,0.22,2,35,full-prep,no spice,Family Kitchen,Dairy Free,4.34,21534,True
2026-05-12,2026-05-10,f4ae0cb3-40dd-4709-8a36-4e14ba257e10,15756,"BBQ Halloumi With Apple Slaw, Chips & A Chicken Breast",596,734,52.2,37.2,17.6,51.0,20.2,7.7,2.85,123,8.8,6.3,3.0,8.6,3.4,1.3,0.48,2,40,full-prep,mild,Takeaway Night,Gluten Free,4.31,16,True
2026-05-12,2026-05-10,7211769b-9c8b-4302-bf8f-206824f0de46,6319,BBQ Pulled Pork Mac 'N' Cheese With Corn & Mustard Salad,464,893,55.3,37.8,17.7,86.5,12.1,5.8,2.49,192,11.9,8.2,3.8,18.6,2.6,1.3,0.54,1,45,full-prep,mild,Gastropub,,4.35,3698,True
