menu_week_start,scraped_at,id,core_recipe_id,name,portion_weight_g,kcal_per_portion,protein_g_per_portion,fat_g_per_portion,fat_saturates_g_per_portion,carbs_g_per_portion,sugars_g_per_portion,fibre_g_per_portion,salt_g_per_portion,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,fat_saturates_g_per_100g,carbs_g_per_100g,sugars_g_per_100g,fibre_g_per_100g,salt_g_per_100g,five_a_day,prep_time_min,preparation_type,spice_level,food_brand,dietary_claims,rating_avg,rating_count,is_available
2026-05-26,2026-05-13,899d1aa2-a8cc-40cb-8874-9bb1626446bc,15134,"'Everything Chopped' Salmon, Dill & Cream Cheese Bagel",,398,21.4,14.6,,46.5,,,1.53,,,,,,,,,1,10,full-prep,no spice,Breakfast Time,,0,0,True
2026-05-26,2026-05-13,5e787ffd-93ec-45d9-bcf4-9868641460d8,8719,2 Meals: Bolognese Jacket Potato x Bolognese Conchiglie,1098,1528,80.2,66.4,28.6,153.8,31.0,19.4,4.53,139,7.3,6.0,2.6,14.0,2.8,1.8,0.41,3,65,full-prep,no spice,Batch Cooking,,4.47,112,True
2026-05-26,2026-05-13,4188c0aa-e248-4011-a9e8-51c8123e9bec,8701,2 Meals: Pulled Shiitake Mushrooms Bourguignon x Ragú Tortiglioni,784,1217,42.8,34.8,18.0,147.2,24.6,41.4,7.66,155,5.5,4.4,2.3,18.8,3.1,5.3,0.98,2,45,full-prep,no spice,Batch Cooking,Vegan; Vegetarian; Dairy Free,4.52,158,True
2026-05-26,2026-05-13,b250ccf4-f1f4-40d4-b9b2-fcc89d05798c,8883,2 Meals: Thai Red Chicken Noodles x Thai Chicken & Pepper Stew,696,1259,65.9,49.6,24.8,134.2,18.3,11.5,5.25,180,9.5,7.1,3.6,19.3,2.6,1.7,0.76,1,45,full-prep,spicy,Batch Cooking,Dairy Free,4.3,61,True
2026-05-26,2026-05-13,ba87a8c0-7a14-41a6-94db-414eb07582a5,5304,All In One Halloumi Souvlaki-Style Salad,538,517,29.0,25.4,16.7,46.7,16.9,8.3,2.41,96,5.4,4.7,3.1,8.7,3.1,1.5,0.45,3,45,full-prep,no spice,Prepped in 5,Vegetarian; Gluten Free,4.31,9280,True
2026-05-26,2026-05-13,5b868f9a-78d0-41f0-9bcf-d057dfb0565e,13130,All In One Honey Baked Greek Cheese & Crispy Gnocchi,474,478,20.4,11.1,7.3,75.5,16.0,5.7,2.36,100,4.3,2.3,1.5,15.9,3.4,1.2,0.5,3,40,full-prep,mild,Prepped in 5,Vegetarian,4.22,1723,True
2026-05-26,2026-05-13,5ac0d218-0a90-4d97-b1f3-4796e931a27b,1606,Bacon & Mushroom Alfredo,290,605,26.1,21.4,10.6,73.0,5.6,3.5,1.9,208,9.0,7.4,3.7,25.2,1.9,1.2,0.66,1,10,full-prep,no spice,10-Minute,,4.35,24436,True
2026-05-26,2026-05-13,c7769cb7-5906-4963-b199-3d90351b9698,14066,Baked Basa Goujons With Potatoes & Lemony Greens,424,410,30.2,12.9,1.5,45.0,7.8,7.5,0.22,96,7.1,3.0,0.4,10.6,1.8,1.8,0.05,2,35,full-prep,no spice,Nutrient Rich,Dairy Free,4.07,153,True
2026-05-26,2026-05-13,e444fb38-04d7-4cf0-8c73-0682a46c9f49,11808,Baked Cantonese-Style Soy Salmon With Rice,328,549,31.0,19.3,3.8,60.5,3.2,4.8,2.77,167,9.4,5.9,1.2,18.4,1.0,1.5,0.84,2,45,full-prep,spicy,Prepped in 5,Dairy Free,4.3,46,True
2026-05-26,2026-05-13,dc24bc3e-7cd2-4084-b6aa-1af0a63b7fff,6205,Baked Harissa & Red Wine Orzo With Honey Greek Cheese,339,509,20.9,12.5,7.4,77.4,21.7,6.5,1.9,150,6.2,3.7,2.2,22.8,6.4,1.9,0.56,2,35,full-prep,mild,Modern Bistro,Vegetarian,4.12,9384,True
