menu_week_start,scraped_at,id,core_recipe_id,name,portion_weight_g,kcal_per_portion,protein_g_per_portion,fat_g_per_portion,fat_saturates_g_per_portion,carbs_g_per_portion,sugars_g_per_portion,fibre_g_per_portion,salt_g_per_portion,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,fat_saturates_g_per_100g,carbs_g_per_100g,sugars_g_per_100g,fibre_g_per_100g,salt_g_per_100g,five_a_day,prep_time_min,preparation_type,spice_level,food_brand,dietary_claims,rating_avg,rating_count,is_available
2026-05-19,2026-05-20,763beb12-902f-4784-a993-a531dd6ee62f,8777,2 Meals: Beef Chilli & Crispy Tortillas x Chilli Con Carne With Rice,672,1527,80.3,75.6,37.9,130.2,11.7,9.8,4.11,227,12.0,11.3,5.6,19.4,1.7,1.5,0.61,1,45,full-prep,mild,Batch Cooking,,4.42,206,True
2026-05-19,2026-05-20,3841ae95-56eb-429b-8b48-71b7d38c72b4,8755,2 Meals: Chicken Souvlaki x Loaded Harissa Chicken Pitta,1116,1287,72.6,59.3,14.3,119.6,23.3,13.2,1.59,115,6.5,5.3,1.3,10.7,2.1,1.2,0.14,1,40,full-prep,mild,Batch Cooking,,4.04,50,True
2026-05-19,2026-05-20,c0b7f940-2cf7-4d97-9523-ddeaaa049648,8763,2 Meals: Chicken Tikka Masala x Pulled Tikka Rotis,933,1405,82.8,57.2,19.5,138.9,20.4,12.4,3.88,150,8.9,6.1,2.1,14.9,2.2,1.3,0.41,1,60,full-prep,mild,Batch Cooking,,4.39,126,True
2026-05-19,2026-05-20,4c055069-461c-43db-928b-56155fe8106d,1605,21-Day Aged Sirloin Steak & Sweet Potato Wedges,512,611,47.4,26.6,11.5,47.7,14.5,7.1,0.56,119,9.3,5.2,2.2,9.3,2.8,1.4,0.11,3,40,full-prep,no spice,Gastropub,Dairy Free; Gluten Free,4.41,1255,True
2026-05-19,2026-05-20,35eec9ad-dcb0-45e2-aef4-e914af3aedb9,7509,All In One Sticky Sambal Chicken Thigh With Sesame Pak Choi,379,602,39.5,18.6,4.3,66.6,12.6,1.5,2.87,158,10.4,4.9,1.1,17.6,3.3,0.4,0.76,1,35,full-prep,spicy,Prepped in 5,Dairy Free; Gluten Free,4.21,1104,True
2026-05-19,2026-05-20,3e1c14c7-5119-4861-ba92-51f59f038786,10140,"Aubergine Stir-Fry With Thai Basil, Lemongrass & Lime Leaf Oil",429,459,12.0,9.5,1.8,82.6,10.3,7.6,1.82,106,2.8,2.2,0.4,19.2,2.4,1.8,0.42,3,25,full-prep,spicy,20 minute meals,Vegan; Vegetarian; Dairy Free,3.78,415,True
2026-05-19,2026-05-20,44a1f76d-9d3c-407a-b889-208fb31a4778,11802,Bacon & Mushroom Alfredo,,605,26.1,21.4,,73.0,,,1.9,,,,,,,,,1,10,full-prep,no spice,10-Minute,,4.39,1233,True
2026-05-19,2026-05-20,ef4714ce-69bb-432f-b856-0deeca86af73,2521,Bacon & Sun-Dried Tomato Spaghetti,350,591,26.4,18.0,7.0,79.6,10.6,5.3,2.58,168,7.5,5.1,2.0,22.7,3.0,1.5,0.74,2,10,full-prep,no spice,10-Minute,,4.24,4834,True
2026-05-19,2026-05-20,2beef816-0685-469e-bf86-e1ddfbee33db,7260,Bacon Frijoles Charros With Crème Fraîche & Rice,535,676,24.9,24.7,11.7,83.4,10.9,14.1,2.83,126,4.6,4.6,2.2,15.6,2.0,2.6,0.53,3,30,full-prep,spicy,Moments,Gluten Free,4.27,2304,True
2026-05-19,2026-05-20,f39d5780-8d6e-4564-a512-b18bab85e7c4,4699,Baked Aubergine Parmigiana With Harissa Potatoes,552,406,21.8,18.0,11.1,41.3,12.2,8.2,1.6,73,4.0,3.3,2.0,7.5,2.2,1.5,0.29,3,55,full-prep,mild,Prepped in 5,Vegetarian; Gluten Free,4.44,6084,True
2026-05-19,2026-05-20,a6afd6a0-8de9-4cda-87c7-f5bf1f4db457,3202,Baked Butternut Squash Biryani With Coconut,314,403,9.6,9.2,5.1,68.0,9.1,4.8,1.91,128,3.1,2.9,1.6,21.7,2.9,1.5,0.61,2,30,full-prep,spicy,Prepped in 5,Vegan; Vegetarian; Dairy Free,4.42,46625,True
2026-05-19,2026-05-20,de42f6b6-2185-48d9-b42b-25be950bb96c,13121,Baked Butternut Squash Biryani With Coconut,,417,8.2,8.9,,76.4,,,1.89,,,,,,,,,2,30,full-prep,spicy,Prepped in 5,Vegan; Vegetarian; Dairy Free,4.46,1499,False
2026-05-19,2026-05-20,242cd968-4fee-4ae3-975d-36c35212ee63,4210,Baked Spicy Fable Mushroom Stew With Naan And Yoghurt,405,631,22.9,22.1,10.1,63.6,12.7,19.0,3.51,155,5.7,5.5,2.5,15.7,3.1,4.7,0.87,1,50,full-prep,spicy,Prepped in 5,Vegetarian,4.43,4378,True
2026-05-19,2026-05-20,9ce8949c-bf29-4655-b1f0-6f47b107c2d2,3968,Baked Spicy Meat-Free Mince Stew With Naan And Yoghurt ,415,588,38.3,16.8,2.2,66.6,13.4,11.1,3.55,141,9.2,4.0,0.5,16.0,3.2,2.7,0.85,1,50,full-prep,spicy,Prepped in 5,Vegetarian,4.3,2486,True
2026-05-19,2026-05-20,6f2d89d4-6d0d-4f71-a12f-477eaaa80122,3536,Baked Spring Veg Casserole With Honey Chicken,538,572,36.9,24.0,6.3,55.0,19.3,10.0,1.58,106,6.8,4.5,1.2,10.2,3.6,1.9,0.29,2,50,full-prep,no spice,Prepped in 5,Dairy Free,3.93,14063,True
2026-05-19,2026-05-20,3339b921-890f-446d-b977-e8a5f25ce365,7438,"Basa Burger With Zesty Mayo, Sweet Potato Wedges And Slaw",592,738,31.5,25.8,2.6,97.0,24.9,11.2,1.62,124,5.3,4.4,0.4,16.4,4.2,1.9,0.27,3,35,full-prep,no spice,Family Kitchen,Dairy Free,4.18,706,True
2026-05-19,2026-05-20,a483704a-4e7e-4ef7-87b5-c395293a707c,6264,Basa Goujons With Mixed Fries And Curry Ketchup,478,466,30.2,3.3,1.0,81.6,20.9,11.3,1.0,97,6.3,0.7,0.2,17.1,4.4,2.4,0.21,3,35,full-prep,mild,Family Kitchen,Dairy Free,4.23,6970,True
2026-05-19,2026-05-20,8c75854d-4d4d-458e-986a-16466f70bb15,4323,Basa Tom Kha Soup With Lemongrass Rice,340,534,27.8,19.5,16.5,56.2,6.4,6.6,1.56,156,8.2,5.7,4.9,16.5,1.9,1.9,0.46,1,35,full-prep,spicy,Global Kitchen,Dairy Free; Gluten Free,4.44,5993,True
2026-05-19,2026-05-20,ff42c86c-ef11-46f5-9fb5-ff7250bc85bf,8965,Bánh Mì-Style Double Chicken Salad With Sesame Croutons,503,514,60.7,14.8,3.2,33.9,12.7,4.4,1.52,102,12.1,2.9,0.6,6.7,2.5,0.9,0.3,2,25,full-prep,no spice,20 minute meals,Dairy Free,4.5,106,True
2026-05-19,2026-05-20,8b81ae96-9778-42a3-bfbe-027f0e6e1fd6,7345,BBQ Butter Chicken With Sweet Potato Mash And Chilli Greens,454,435,33.6,5.4,1.3,65.3,21.3,8.3,0.82,95,7.4,1.2,0.3,14.4,4.7,1.8,0.18,3,35,full-prep,spicy,Family Kitchen,Dairy Free,4.23,4413,True
2026-05-19,2026-05-20,ba18d9cf-5178-441b-a0b8-a9782d6d640f,13361,BBQ Pulled Pork With Loaded Potatoes And Creamy Slaw,,754,42.3,45.0,,47.4,,,2.17,,,,,,,,,1,45,full-prep,mild,Gastropub,,4.61,277,True
2026-05-19,2026-05-20,47c7cdd5-29fd-4f19-a706-9d4a31725459,1079,Beany Tacos With Chorizo Crumb And Corn Salsa,484,848,31.5,37.6,9.9,91.3,13.3,15.7,2.7,175,6.5,7.8,2.0,18.9,2.7,3.3,0.56,2,40,full-prep,mild,Takeaway Night,,4.13,6611,True
2026-05-19,2026-05-20,b72e5055-17e5-46e5-bde2-81a7fb95bb46,14134,"Beef Meatballs With Mash, Broccoli & Onion Gravy",,463,31.5,22.4,,35.2,,,0.93,,,,,,,,,2,20,full-prep,no spice,Nutrient Rich,Dairy Free; Gluten Free,4.35,645,True
2026-05-19,2026-05-20,587ad778-0240-4da0-ad17-45ca26aba732,14507,Beef Spaghetti Bolognese,,738,42.5,25.1,,84.7,,,2.09,,,,,,,,,3,30,full-prep,no spice,Everyday Favourites,,4.58,1633,True
2026-05-19,2026-05-20,89d836bd-cb98-4bda-869d-9d5fa30716bc,975,Blackened Pollock And Corn Salsa Bowl,398,452,23.8,13.7,1.4,60.5,10.1,6.2,0.44,113,6.0,3.4,0.3,15.2,2.5,1.6,0.11,2,35,full-prep,spicy,Global Kitchen,Gluten Free; Dairy Free,4.2,17725,True
2026-05-19,2026-05-20,4b3a1162-b98b-4aca-b71e-280528b95c16,2404,Blackened Salmon Bowl With Charred Chilli Corn And Feta,437,697,32.4,37.6,8.3,55.8,6.7,10.1,0.62,159,7.4,8.6,1.9,12.8,1.5,2.3,0.14,1,10,full-prep,mild,Ultimate Fakeaway,Gluten Free,4.38,3758,True
2026-05-19,2026-05-20,a5731cb5-0310-4638-a009-d3c7d8b52f4e,7314,Bolognese Loaded Fries With Balsamic Tomato & Basil Salad,590,570,36.4,25.3,11.9,52.4,12.0,7.3,1.53,96,6.2,4.3,2.0,8.9,2.0,1.2,0.26,3,40,full-prep,no spice,Modern Bistro,Gluten Free,4.39,4402,True
2026-05-19,2026-05-20,72ededcb-e405-4667-8277-5004ad1d7a19,4712,Broccoli Pesto And Pangrattato With Spinach & Ricotta Ravioli,296,535,22.9,22.5,7.7,59.7,8.7,6.1,2.25,181,7.8,7.6,2.6,20.2,3.0,2.1,0.76,1,10,full-prep,no spice,Pasta Pronto,Vegetarian,4.01,11975,True
2026-05-19,2026-05-20,f8c84684-d445-4589-a31f-73d610acabd4,7677,Buffalo Chicken Grain Bowl With Yoghurt Ranch,398,481,38.4,10.1,3.7,62.1,8.0,6.5,0.68,120,9.6,2.5,0.9,15.6,2.0,1.6,0.17,2,20,full-prep,spicy,Protein Hit,,3.97,1328,True
2026-05-19,2026-05-20,c69cc60b-0ae5-4d38-a6b6-4ed9d8670f6e,7956,Buffalo Chicken Thigh Shawarma Kebab,464,685,39.1,35.9,5.7,52.3,10.3,5.7,1.2,147,8.4,7.7,1.2,11.3,2.2,1.2,0.26,2,30,full-prep,spicy,Classic Fakeaways,Dairy Free,4.49,3764,True
2026-05-19,2026-05-20,38239ca8-c1b4-42a2-97f3-58463c69bf7a,14803,Buffalo Halloumi Shawarma Kebab,,632,30.7,33.9,,52.2,,,2.94,,,,,,,,,2,25,full-prep,spicy,Classic Fakeaways,Vegetarian,4.54,774,True
2026-05-19,2026-05-20,68611d2a-8126-4663-a36d-0f51fd58c98f,874,Butter Chicken With Coriander Rice,293,565,34.7,17.9,9.2,67.3,5.6,4.8,0.74,192,11.8,6.1,3.2,23.0,1.9,1.6,0.25,1,45,full-prep,mild,Takeaway Night,Gluten Free,4.28,81765,True
2026-05-19,2026-05-20,d12cfc86-80a2-4c57-bc75-bac3f8a00990,2806,Butternut Squash Dal With Coconut Raita,384,461,15.8,16.2,11.7,58.1,11.9,13.3,1.59,119,4.1,4.2,3.1,15.1,3.1,3.5,0.41,3,10,full-prep,mild,10-Minute,Vegan; Vegetarian; Dairy Free,4.34,22870,True
2026-05-19,2026-05-20,f12c5005-0588-450a-9df8-f875a935f177,4195,Caldeirada-Style Pollock Stew With Peri-Peri Crusty Bread,443,319,24.7,2.5,0.4,51.1,10.1,7.3,1.23,72,5.6,0.6,0.1,11.5,2.3,1.7,0.28,2,45,full-prep,mild,Modern Bistro,Dairy Free,4.15,2334,True
2026-05-19,2026-05-20,adc9745a-4687-4102-b2fd-ff0474b968f0,14706,Caribbean Spiced Basa & Sweet Potato Chips With Crushed Peas,363,433,25.3,22.7,2.2,34.8,11.8,7.7,1.06,119,7.0,6.3,0.6,9.6,3.2,2.1,0.29,2,40,full-prep,mild,Nutrient Rich,Dairy Free; Gluten Free,4.28,203,True
2026-05-19,2026-05-20,4e74f4cd-072f-4396-a0cc-01b4633bfa6b,5810,Caribbean-Style Aubergine With Rice & Pineapple Salsa,457,490,12.4,11.3,8.3,78.7,22.7,9.2,0.97,107,2.7,2.5,1.8,17.2,5.0,2.0,0.21,3,35,full-prep,mild,Global Kitchen,Vegan; Vegetarian; Dairy Free; Gluten Free,4,719,True
2026-05-19,2026-05-20,0f579624-052c-483a-93ae-9fc87cd6e7c9,14246,Char Siu Pork Belly And Salt & Pepper Squid With Rice,436,906,43.8,46.8,13.2,77.4,9.0,1.8,2.87,208,10.1,10.7,3.0,17.8,2.1,0.4,0.66,1,60,full-prep,spicy,Ultimate Fakeaway,Dairy Free,0,0,True
2026-05-19,2026-05-20,d330e380-1bd0-4db7-a038-9d5a931e6f9d,13135,Charred Pineapple Fried Rice With Toasted Cashews,,530,11.2,15.9,,83.2,,,1.34,,,,,,,,,2,30,full-prep,mild,Takeaway Night,Vegan; Vegetarian; Dairy Free; Gluten Free,4.43,832,True
2026-05-19,2026-05-20,65655754-28f7-4ef1-ba38-0b5532796e2e,6279,Cheesy Sausage & Pepper Chilli Con Carne Pasta Bake,428,571,28.2,24.3,10.6,62.2,12.1,9.1,2.38,133,6.6,5.7,2.5,14.6,2.8,2.1,0.56,3,40,full-prep,mild,Family Kitchen,,4.26,14547,True
2026-05-19,2026-05-20,b1fb0f0c-f1eb-4d05-a7c0-9cb699ec0024,2561,Chermoula King Prawns With Spiced Giant Couscous,331,398,22.1,2.8,0.5,74.6,20.9,7.6,0.92,120,6.7,0.9,0.1,22.5,6.3,2.3,0.28,1,35,full-prep,mild,Global Kitchen,Dairy Free,4.13,9012,True
2026-05-19,2026-05-20,3141170a-2a1c-45bf-9168-1fb5c7914a2b,2011,Chicken Fajitas With Tomato Salsa & Smoky Yoghurt,478,549,40.5,12.6,5.1,68.8,14.8,7.1,0.9,114,8.5,2.6,1.1,14.4,3.1,1.5,0.19,3,30,full-prep,mild,Calorie Controlled,,4.1,13819,True
2026-05-19,2026-05-20,4323f985-9d42-4f31-a5b7-25542ed8622e,753,Chicken Katsu Curry,406,584,40.7,8.1,2.3,86.1,14.5,6.0,1.6,143,10.0,2.0,0.6,21.2,3.6,1.5,0.39,2,45,full-prep,mild,Takeaway Night,Dairy Free,4.19,88042,True
2026-05-19,2026-05-20,36318464-5e3c-4860-8e47-85f4f9d50bc1,3443,Chicken Korma With Spinach Rice,334,548,36.8,18.0,9.6,58.5,12.5,6.2,1.71,164,11.0,5.4,2.9,17.5,3.7,1.9,0.51,3,35,full-prep,mild,Calorie Controlled,Gluten Free; Dairy Free,4.23,23878,True
2026-05-19,2026-05-20,a59cf48f-a756-4e49-a2d3-8cc950e72773,2642,Chicken Satay With Pickled Chilli Cucumber,404,647,38.1,24.1,10.2,67.2,9.4,5.4,1.64,160,9.4,6.0,2.5,16.6,2.3,1.3,0.41,1,25,full-prep,spicy,20 minute meals,Dairy Free,4.31,12026,True
2026-05-19,2026-05-20,142c6224-9ffb-4a61-964d-b032e5e438e5,5089,Chicken Shish Kebabs With Chilli Sauce And Chips,502,543,36.4,15.1,2.0,66.1,9.4,9.2,0.66,108,7.2,3.0,0.4,13.2,1.9,1.8,0.13,2,35,full-prep,spicy,Takeaway Night,Dairy Free,4.43,23674,True
2026-05-19,2026-05-20,ded36482-36ba-47b7-9c82-bab8f5295f69,304,Chicken Teriyaki With Rice And Peas,313,519,38.2,11.1,2.2,67.0,5.4,5.6,2.68,165,12.2,3.5,0.7,21.4,1.7,1.8,0.85,1,40,full-prep,mild,Global Kitchen,Dairy Free,4.3,71482,True
2026-05-19,2026-05-20,811c1f16-71ad-4ac2-97f6-cd30d34d39c3,7409,Chicken Thigh Pad Thai,416,654,38.8,21.2,5.1,77.8,12.0,4.3,5.49,157,9.3,5.1,1.2,18.7,2.9,1.0,1.32,1,25,full-prep,no spice,20 minute meals,Dairy Free,4.24,1219,True
2026-05-19,2026-05-20,654bc4d2-8dbb-4145-8889-36f7a9cf6bdd,3836,Chicken Thigh Pad Thai With Stir-Fry Veg,414,668,38.5,22.2,5.2,80.0,12.9,4.5,4.65,161,9.3,5.3,1.2,19.3,3.1,1.1,1.12,1,10,full-prep,mild,20 minute meals,Dairy Free,4.05,4864,True
2026-05-19,2026-05-20,70fdf51b-1c17-471a-941e-47c2a7ac5d86,15802,Chicken Tikka Masala With Saffron Rice,391,512,29.7,20.3,6.3,47.3,11.3,10.6,2.89,130,7.6,5.2,1.6,12.1,2.9,2.7,0.74,2,7,heat-only,mild,Heat & Eat,,0,0,True
