menu_week_start,scraped_at,id,core_recipe_id,name,portion_weight_g,kcal_per_portion,protein_g_per_portion,fat_g_per_portion,fat_saturates_g_per_portion,carbs_g_per_portion,sugars_g_per_portion,fibre_g_per_portion,salt_g_per_portion,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,fat_saturates_g_per_100g,carbs_g_per_100g,sugars_g_per_100g,fibre_g_per_100g,salt_g_per_100g,five_a_day,prep_time_min,preparation_type,spice_level,food_brand,dietary_claims,rating_avg,rating_count,is_available
2026-06-02,2026-05-27,6c691000-c1e4-45d1-a454-215f485275e6,7906,Sweet 'N' Sticky Mongolian-Style Tofu & Tenderstem With Rice,407,623,39.1,18.6,2.6,72.8,6.5,8.6,2.95,153,9.6,4.6,0.6,17.9,1.6,2.1,0.72,1,10,full-prep,no spice,10-Minute,Vegan; Vegetarian; Dairy Free,4.08,2168,True
2026-06-02,2026-05-27,88707239-85d5-4488-992e-bc33ea779b3b,16531,Sweet Pepper & Tomato Sauce With Fresh Tagliatelle & A Chicken Breast,,601,45.4,9.6,,82.8,,,1.69,,,,,,,,,2,25,full-prep,no spice,20 minute meals,,0,0,True
2026-06-02,2026-05-27,d398d60d-4c2d-4484-bda6-b5de16f8f1e5,11974,Sweet ‘N’ Sour Chicken Chinese Feast With Spring Rolls & Brown Rice,,867,43.1,14.6,,139.5,,,4.13,,,,,,,,,1,35,full-prep,mild,Ultimate Fakeaway,,0,0,True
2026-06-02,2026-05-27,8e887521-5a14-4119-aa82-315eafe7fe7d,4104,Taiwanese-Style Thai Basil King Prawn Stir-Fry & Sticky Rice,316,468,19.1,11.3,1.9,70.8,6.4,1.6,2.75,148,6.0,3.6,0.6,22.4,2.0,0.5,0.87,1,30,full-prep,spicy,Global Kitchen,Dairy Free,4.22,3188,True
2026-06-02,2026-05-27,24e64de7-d7e5-4e1d-9aed-c64da401e406,16636,Tandoori Vegetable Biryani,,621,19.7,23.9,,71.7,,,2.47,,,,,,,,,2,7,heat-only,mild,Heat & Eat,Vegan; Vegetarian,0,0,True
2026-06-02,2026-05-27,44658624-6fc9-4300-a3b2-fbe4da507292,12147,Tangy Tomato Double Basa With Cheesy Orzo,443,520,53.6,6.6,3.3,59.4,6.8,4.5,1.57,117,12.1,1.5,0.7,13.4,1.5,1.0,0.35,2,30,full-prep,no spice,Modern Bistro,,0,0,True
2026-06-02,2026-05-27,ee16ae77-04ca-4edc-8307-16931b3dc3d1,15798,Thai Red Chicken Curry With Jasmine Rice,394,421,28.4,14.6,7.1,41.8,11.0,5.9,2.32,106,7.2,3.7,1.8,10.6,2.8,1.5,0.59,2,7,heat-only,mild,Heat & Eat,,3.63,19,True
2026-06-02,2026-05-27,034c76cb-629f-46f5-89fd-1f205a3e99d1,888,Thai-Style Aubergine Curry With Lemongrass Rice,380,569,12.8,26.0,17.6,68.8,9.5,9.6,2.2,149,3.4,6.8,4.6,18.1,2.5,2.5,0.58,2,35,full-prep,spicy,Global Kitchen,Vegan; Vegetarian; Dairy Free,4.38,20201,True
2026-06-02,2026-05-27,80bd1d27-8143-4b0a-8a6c-1f5aa9681c23,3548,The Fiery Marmite-Glazed Meat-Free Chick'n Burger,429,536,26.6,5.3,0.7,92.1,20.6,13.1,2.37,125,6.2,1.2,0.2,21.5,4.8,3.1,0.55,1,40,full-prep,spicy,Takeaway Night,Vegan; Vegetarian; Dairy Free,4.21,3561,True
2026-06-02,2026-05-27,f06e60fd-159c-473a-8bbf-4b0f08d16085,7930,Three Cheese Garlic Bread Pizza With Balsamic Salad,380,720,34.2,30.0,16.5,76.3,9.2,6.2,2.04,189,9.0,7.9,4.3,20.1,2.4,1.6,0.54,3,30,full-prep,no spice,Moments,Vegetarian,4.47,569,True
2026-06-02,2026-05-27,c45ead7f-ba6d-4d4c-acf5-6bed676d2eb0,4044,Tomato & Bacon Gnocchi,411,442,21.1,10.3,3.5,64.2,7.1,5.3,2.87,107,5.1,2.5,0.9,15.6,1.7,1.3,0.7,2,10,full-prep,mild,10-Minute,Dairy Free,4.21,9645,True
2026-06-02,2026-05-27,a5284f3f-5186-4dc3-ad28-5b72ad35502c,1520,Tomato & Goats' Cheese Gnocchi,398,433,18.9,10.3,6.4,64.4,7.3,5.3,1.82,108,4.7,2.6,1.6,16.2,1.8,1.3,0.46,2,10,full-prep,mild,10-Minute,Vegetarian,4.22,28574,True
