week,slot_number,brand,recipe_title,person_size,calories,grams
2026-W19,70,HelloFresh,Speedy Chipotle Bean Chilli,2,3138,667.5
2026-W19,71,HelloFresh,Presto Pesto Pea Rigatoni,2,3207,418.5
2026-W19,72,HelloFresh,Easy Pulled Beef Ragu and Fresh Tagliatelle,2,4519,683.5
2026-W19,73,HelloFresh,21 Day Aged Sirloin Steak and Cheesy Rosemary Chips,2,2923,530.5
2026-W19,74,HelloFresh,Seared Sea Bream on Orkney Crab and Tomato Risotto,2,4558,831.5
2026-W19,75,HelloFresh,Sweet Chilli Beef and Pickled Cucumber Bao,2,3133,634.3
2026-W19,76,HelloFresh,Chinese BBQ Style Ribs & Hoisin King Prawn Fried Rice,2,4098,694
2026-W19,77,HelloFresh,Lamb Steak in Garlic Butter Sauce,2,3606,729
2026-W19,78,HelloFresh,Vietnamese Style Tamarind Glazed Duck Bánh Mì,2,4647,755
2026-W19,79,HelloFresh,Parmigiano Reggiano Crumbed Chicken Schnitzel,2,3037,682.5
2026-W19,80,HelloFresh,Ultimate Matar Saag Paneer and Garlic Naan,2,6758,790.5
2026-W20,1,HelloFresh,Chicken in Creamy Peppercorn Sauce,2,2358,723.3
2026-W20,2,HelloFresh,Korean Style Gochujang Beef and Pork Bibimbap,2,2976,587
2026-W20,3,HelloFresh,Presto Bacon and Mushroom Linguine,2,2921,352.5
2026-W20,4,HelloFresh,Comforting Coronation Chicken Curry,2,2840,626.5
2026-W20,5,HelloFresh,Honey Mustard Sausages and Creamy Potato Gratin,2,3631,889
2026-W20,6,HelloFresh,Pronto Pesto Pasta Verde,2,3717,410.3
2026-W20,7,HelloFresh,Smoky BBQ Pulled Chicken Buns,2,4053,687.9
2026-W20,8,HelloFresh,Family Favourite Honey-Soy Crispy Chicken,2,2608,588
2026-W20,9,HelloFresh,Fast Fragrant Vietnamese Style Chicken Salad,2,2636,435
2026-W20,10,HelloFresh,Thai Style Spiced Chicken and Satay Sauce,2,3853,601
2026-W20,11,HelloFresh,Quick Indonesian Inspired Pork Noodles,2,2991,406.8
2026-W20,12,HelloFresh,Fragrant Sach Ko Ang Inspired Beef Kofta Baguette,2,3623,445.5
2026-W20,13,HelloFresh,Indonesian Gado Gado Inspired Salad,2,2622,619.5
2026-W20,14,HelloFresh,South East Asian Inspired Chickpea Curry,2,4007,790.2
2026-W20,15,HelloFresh,Pork Steak and Sweet & Sour Ginger Rhubarb Sauce,2,2478,548.5
2026-W20,16,HelloFresh,Purple Sprouting Broccoli and Chorizo Jam Rigatoni,2,3202,562.5
2026-W20,17,HelloFresh,Sticky Thai Style Pork Rice Bowl,2,2967,524.5
2026-W20,18,HelloFresh,Peri Peri Spiced Chorizo and Chickpea Traybake,2,2786,747.3
2026-W20,19,HelloFresh,"Sour Rhubarb, Cinnamon and Lentil Curry",2,3397,902.5
2026-W20,20,HelloFresh,Purple Sprouting Broccoli and Courgette Risotto,2,2773,727.8
2026-W20,21,HelloFresh,Caribbean Style Spiced Salmon,2,2642,499.8
2026-W20,22,HelloFresh,German Inspired Haddock in Mustard Cream Sauce,2,2328,509.5
2026-W20,23,HelloFresh,Traybake Prawn and Pepper Fajitas,2,2790,565.5
2026-W20,24,HelloFresh,Peanut and Prawn Noodle Stir-Fry,2,2062,451
2026-W20,25,HelloFresh,"Lemon, Parsley and White Wine Moules Frites",2,2692,659.3
2026-W20,26,HelloFresh,Cheesy Piggy Pie and Peas,2,3456,833.5
2026-W20,27,HelloFresh,One Pan Gochujang Beef Udon,2,2082,460
2026-W20,28,HelloFresh,15 Minute Fragrant Peanut Chicken Curry,2,2958,476.1
2026-W20,29,HelloFresh,Super Quick Chorizo and Bean Stew,2,2246,510.9
