week,slot_number,recipe_nk,recipe_title,total_kcal,total_grammage,kcal_net_pantry,grammage_net_pantry
2026-W19,39,685fe933-2144-4b2b-810f-5b16f8437f57,Weeknight Fragrant Hoisin Pork Noodles,791.1089866156788,480,791.1089866156788,480
2026-W19,40,cf3b67d5-1b54-4482-9791-36cae2415412,Pronto Bacon and Mushroom Linguine,707.6959847036328,432.9,707.6959847036328,432.9
2026-W19,41,46413378-8a9d-42f3-8fbe-fcb8e558f6c7,Quick Peri Peri Chicken Couscous Bowl,695.0286806883365,586.8,615.5886806883366,574.8
2026-W19,42,52531078-b500-478d-ac68-d6f6c9154a03,Italian Inspired Butter Bean Cassoulet,590.8221797323135,578.9,511.38217973231355,566.9
2026-W19,43,4a492aed-6bd6-4634-8010-66b64df6084c,Spiced Roasted Cauliflower on Zhoug Couscous,538.9579349904398,487.5,538.9579349904398,487.5
2026-W19,44,a43c2f4e-e4c5-431b-8a5e-7ab09e9e4b47,Speedy Creamy Brazilian Style Chickpeas,763.3843212237093,743.8,763.3843212237093,743.8
2026-W19,45,56a98f0a-3980-4a82-9fce-b73585b0fef3,Arrabbiata Style Pumpkin and Sage Girasoli,602.055449330784,415.4,522.615449330784,403.4
2026-W19,46,4b6d571f-0c3f-4476-87b9-d3ddd2fbfc45,Quick Creamy Truffle and Mushroom Rigatoni,674.9521988527724,383.5,674.9521988527724,383.5
2026-W19,47,a8a36847-e2b4-49c0-9e61-4d4ed8faaca9,Sweet Potato Pasanda Spiced Curry,1000.2390057361376,728.8,928.5390057361376,718.8
2026-W19,48,c7caa499-987c-4867-873a-c20dbfa37746,Hot and Spicy Halloumi and Chilli-Tomato Relish,873.3269598470363,641,795.9669598470363,630.56
2026-W19,49,c169b318-a74a-444f-9092-4018a69d78c9,Charred Cabbage and Thai Style Nam Jim Dressing,685.9464627151051,605.8,554.4464627151051,590.92
2026-W19,50,76f22fb7-b409-4775-896b-fd9ccf2faf2b,Singapore Style Crispy Tofu & Black Pepper Noodles,633.8432122370937,488.8,581.5532122370937,477.55
2026-W19,51,c88359ee-3b68-475e-842a-48053f31dd89,Spanakopita Inspired Sigara Böreği,1026.7686424474186,568.3,957.1486424474186,559.8599999999999
2026-W19,52,ae15b3dd-31fe-4aef-b76a-0a0b4b178885,Quick Roasted Broccoli Blue Cheese Salad,458.65200764818354,501,396.77200764818355,494.56
2026-W19,53,4dade5f6-84d7-4c91-9214-90dad32034af,Hearty Double Mushroom Bourguignon,490.2007648183556,657.3,400.0707648183556,642.3
2026-W19,54,4ed589f7-2775-4076-91e8-dcb5533589bc,Crispy Serrano Caprese Bruschetta,483.0305927342256,416,412.5505927342256,407.34
2026-W19,55,54196650-07c1-483c-bb30-5c29563a8a55,Middle Eastern Style Lamb Meatballs in Cherry Sauce,569.3116634799235,574.3,569.3116634799235,573.63
2026-W19,56,c5eff96f-059b-4c13-9c7c-ed573adb2c7c,One Pot Ginger and Lime Chicken Noodle Soup,523.6615678776291,653.2,523.6615678776291,653.2
2026-W19,57,62c386bf-4229-4f8f-9b7f-98c5a18d1f57,Clean Plate Chicken Schnitzel & Miso Butter Sauce,660.3728489483748,659.9,588.6728489483747,648.9399999999999
2026-W19,58,618100f7-1ca3-46a3-b709-d8cc92e8ecdc,Chermoula Spiced Chicken in Smoky Sauce,648.1835564053537,658,596.4035564053537,650.78
2026-W19,59,c80741ee-c386-4a86-af23-a12fb69b9e14,Fragrant Ginger Beef Noodle Stir-Fry,595.3632887189292,395.3,595.3632887189292,395.3
2026-W19,60,f6e77ffd-a159-4deb-9796-46dea7a94d90,Thai Green Style Chicken Curry,609.4646271510516,434.2,605.5946271510516,433.2
2026-W19,61,39c8095d-0028-4ea0-9aae-691a8c3bed16,Peri Peri Spiced Tuna Fish Cakes,610.1816443594646,682.5,581.0616443594646,673.67
2026-W19,62,207c7b72-7c9e-495c-a4d8-6752991ddae2,Lemon & Herb Crusted Basa and Chive Butter Sauce,609.7036328871893,617,437.3836328871893,595.4024
2026-W19,63,9a09df2f-e503-4aff-971c-e031fb79972a,Teriyaki Duck Rice Bowl,826.7208413001912,673,818.9808413001912,671
2026-W19,64,2b24ef0c-73a3-4dd4-8f35-68a8033c85a9,Bavarian Style Pork Belly and Homemade Apple Sauce,588.6711281070745,828.4,580.9311281070745,826.4
2026-W19,65,1044aec8-19ad-4cc1-b6a5-2189098d901f,Peri Peri Chicken Burger and Wedges,1147.4665391969406,721.3,1147.4665391969406,721.3
2026-W19,66,bf2f7ac6-24d9-4f41-89bc-5021932cc641,Herby Creamy Tomato Chicken Penne,697.8967495219885,495.4,694.0267495219884,494.4
2026-W19,67,bad455f9-5ce4-4f82-b9a3-d68b8de4d58b,Sticky Honey Indonesian Style Beef Rice Bowl,610.6596558317399,409.3,610.6596558317399,409.3
2026-W19,68,c5858312-79ad-44a1-919b-12f182abb6f2,Tex-Mex Style Pork Mince Tacos,942.6386233269598,542.8,876.8886233269598,535.3599999999999
2026-W19,69,d9466463-b6c3-4580-b87c-41c8d5d94d58,Chermoula Lamb Koftas and Balsamic Fig Sauce,563.0975143403441,526.3,501.2175143403441,519.0299999999999
2026-W19,70,dd2d0e57-968c-4e83-8189-3cbc44bd71b4,Speedy Chipotle Bean Chilli,750,667.5,678.3,657.5
2026-W19,71,dc07c551-ac07-46ef-8056-e023726f4065,Presto Pesto Pea Rigatoni,766.491395793499,418.5,762.621395793499,417.5
2026-W19,72,c2f50297-d889-4211-a570-58fd9a662b8a,Easy Pulled Beef Ragu and Fresh Tagliatelle,1080.0669216061185,683.5,1000.6269216061185,671.5
2026-W19,73,80546957-5597-49e4-a50b-769e70274243,21 Day Aged Sirloin Steak and Cheesy Rosemary Chips,698.6137667304015,530.5,626.9137667304014,520.5
2026-W19,74,2fe8c54e-6019-4503-a143-c5b51c2539ec,Seared Sea Bream on Orkney Crab and Tomato Risotto,1089.3881453154875,831.5,955.8081453154874,815.06
2026-W19,75,bdebbc19-9497-4d35-9244-0fd7ddf2d8f6,Sweet Chilli Beef and Pickled Cucumber Bao,748.8049713193117,634.3,744.5049713193117,633.1899999999999
2026-W19,76,a11386c6-4dab-41a5-a7f9-5be4d4414e00,Chinese BBQ Style Ribs & Hoisin King Prawn Fried Rice,979.4455066921606,694,967.8355066921606,691
2026-W19,77,bd45bc8f-5a77-436e-9765-cf7460caa05c,Lamb Steak in Garlic Butter Sauce,861.8546845124283,729,758.2846845124284,714.56
2026-W19,78,24e4b38c-3b88-4038-9ecf-d3fa99a4ca6e,Vietnamese Style Tamarind Glazed Duck Bánh Mì,1110.6596558317399,755,1102.9196558317399,753
2026-W19,79,4ab303d9-8b9f-4bee-adb1-525de4b80f31,Parmigiano Reggiano Crumbed Chicken Schnitzel,725.8604206500955,682.5,725.8604206500955,682.5
2026-W19,80,40e4ffc1-2774-4dad-b755-4b12880f28bb,Ultimate Matar Saag Paneer and Garlic Naan,1615.2007648183555,790.5,1451.5307648183555,769.7324
2026-W20,1,fa1b0276-479a-4501-92d5-4b4c86799224,Chicken in Creamy Peppercorn Sauce,563.5755258126195,723.3,561.4855258126195,722.4699999999999
2026-W20,2,f7af7d22-465c-45ff-84ca-5bc7b7db89cc,Korean Style Gochujang Beef and Pork Bibimbap,711.2810707456979,587,707.4110707456979,586
2026-W20,3,fa4946f2-f36e-4c4e-90d1-9f990e579c07,Presto Bacon and Mushroom Linguine,698.1357552581262,352.5,698.1357552581262,352.5
